cust_id,buy,rfm_code,r_code,f_code,m_code
1,0,455,4,5,5
2,0,422,4,2,2
3,0,111,1,1,1
4,0,533,5,3,3
5,0,454,4,5,4
6,0,354,3,5,4
7,0,434,4,3,4
8,0,111,1,1,1
9,0,155,1,5,5
10,0,534,5,3,4
11,0,555,5,5,5
12,0,134,1,3,4
13,0,354,3,5,4
14,0,323,3,2,3
15,0,552,5,5,2
16,0,132,1,3,2
17,0,454,4,5,4
18,0,255,2,5,5
19,0,511,5,1,1
20,0,535,5,3,5
21,0,222,2,2,2
22,0,222,2,2,2
23,0,355,3,5,5
24,0,511,5,1,1
25,0,122,1,2,2
26,0,211,2,1,1
27,0,112,1,1,2
28,0,354,3,5,4
29,0,423,4,2,3
30,0,112,1,1,2
31,0,112,1,1,2
32,0,355,3,5,5
33,0,155,1,5,5
34,0,122,1,2,2
35,0,111,1,1,1
36,0,333,3,3,3
37,0,234,2,3,4
38,0,112,1,1,2
39,0,422,4,2,2
40,0,511,5,1,1
41,0,455,4,5,5
42,0,113,1,1,3
43,0,421,4,2,1
44,0,211,2,1,1
45,0,111,1,1,1
46,0,433,4,3,3
47,0,322,3,2,2
48,0,355,3,5,5
49,0,211,2,1,1
50,0,422,4,2,2
51,0,121,1,2,1
52,0,311,3,1,1
53,0,511,5,1,1
54,0,111,1,1,1
55,0,522,5,2,2
56,0,255,2,5,5
57,0,552,5,5,2
58,0,324,3,2,4
59,0,555,5,5,5
60,0,111,1,1,1
61,0,554,5,5,4
62,0,554,5,5,4
63,0,111,1,1,1
64,0,111,1,1,1
65,0,311,3,1,1
66,0,554,5,5,4
67,0,134,1,3,4
68,0,255,2,5,5
69,0,234,2,3,4
70,0,321,3,2,1
71,0,111,1,1,1
72,0,555,5,5,5
73,0,555,5,5,5
74,0,353,3,5,3
75,0,211,2,1,1
76,0,123,1,2,3
77,0,434,4,3,4
78,0,554,5,5,4
79,0,121,1,2,1
80,0,435,4,3,5
81,0,322,3,2,2
82,0,255,2,5,5
83,0,521,5,2,1
84,0,431,4,3,1
85,0,133,1,3,3
86,0,555,5,5,5
87,0,122,1,2,2
88,0,254,2,5,4
89,0,453,4,5,3
90,0,333,3,3,3
91,0,322,3,2,2
92,0,111,1,1,1
93,0,355,3,5,5
94,0,212,2,1,2
95,0,422,4,2,2
96,0,321,3,2,1
97,0,455,4,5,5
98,0,423,4,2,3
99,0,133,1,3,3
100,0,555,5,5,5
101,0,554,5,5,4
102,0,422,4,2,2
103,0,532,5,3,2
104,0,424,4,2,4
105,0,255,2,5,5
106,0,512,5,1,2
107,0,523,5,2,3
108,0,222,2,2,2
109,0,223,2,2,3
110,0,454,4,5,4
111,0,323,3,2,3
112,1,522,5,2,2
113,0,555,5,5,5
114,0,424,4,2,4
115,0,422,4,2,2
116,0,221,2,2,1
117,0,434,4,3,4
118,0,354,3,5,4
119,0,255,2,5,5
120,0,354,3,5,4
121,0,412,4,1,2
122,0,523,5,2,3
123,0,312,3,1,2
124,0,155,1,5,5
125,0,455,4,5,5
126,0,221,2,2,1
127,0,222,2,2,2
128,0,211,2,1,1
129,0,355,3,5,5
130,0,433,4,3,3
131,0,123,1,2,3
132,0,554,5,5,4
133,0,355,3,5,5
134,0,111,1,1,1
135,0,311,3,1,1
136,0,554,5,5,4
137,0,323,3,2,3
138,0,355,3,5,5
139,0,211,2,1,1
140,0,254,2,5,4
141,0,212,2,1,2
142,0,354,3,5,4
143,0,154,1,5,4
144,0,222,2,2,2
145,0,122,1,2,2
146,0,322,3,2,2
147,0,523,5,2,3
148,0,555,5,5,5
149,0,433,4,3,3
150,0,523,5,2,3
151,0,455,4,5,5
152,0,111,1,1,1
153,0,124,1,2,4
154,0,555,5,5,5
155,0,454,4,5,4
156,0,355,3,5,5
157,0,211,2,1,1
158,0,324,3,2,4
159,0,322,3,2,2
160,0,331,3,3,1
161,0,412,4,1,2
162,0,554,5,5,4
163,0,523,5,2,3
164,0,555,5,5,5
165,0,213,2,1,3
166,0,233,2,3,3
167,0,321,3,2,1
168,0,413,4,1,3
169,0,534,5,3,4
170,0,222,2,2,2
171,0,323,3,2,3
172,0,324,3,2,4
173,0,333,3,3,3
174,0,335,3,3,5
175,0,334,3,3,4
176,0,522,5,2,2
177,0,533,5,3,3
178,0,355,3,5,5
179,0,252,2,5,2
180,0,512,5,1,2
181,0,222,2,2,2
182,0,235,2,3,5
183,0,423,4,2,3
184,0,455,4,5,5
185,1,311,3,1,1
186,0,221,2,2,1
187,0,123,1,2,3
188,0,435,4,3,5
189,0,224,2,2,4
190,0,134,1,3,4
191,0,123,1,2,3
192,0,121,1,2,1
193,0,235,2,3,5
194,0,254,2,5,4
195,0,122,1,2,2
196,0,122,1,2,2
197,0,555,5,5,5
198,0,555,5,5,5
199,0,121,1,2,1
200,0,412,4,1,2
201,0,332,3,3,2
202,0,233,2,3,3
203,0,355,3,5,5
204,0,211,2,1,1
205,0,222,2,2,2
206,0,411,4,1,1
207,0,122,1,2,2
208,0,311,3,1,1
209,0,555,5,5,5
210,0,454,4,5,4
211,0,454,4,5,4
212,0,234,2,3,4
213,0,354,3,5,4
214,0,532,5,3,2
215,0,535,5,3,5
216,0,335,3,3,5
217,0,524,5,2,4
218,0,155,1,5,5
219,0,555,5,5,5
220,0,223,2,2,3
221,0,434,4,3,4
222,0,524,5,2,4
223,0,534,5,3,4
224,0,334,3,3,4
225,0,513,5,1,3
226,0,532,5,3,2
227,0,533,5,3,3
228,0,354,3,5,4
229,0,122,1,2,2
230,0,355,3,5,5
231,0,322,3,2,2
232,0,233,2,3,3
233,0,312,3,1,2
234,0,311,3,1,1
235,0,355,3,5,5
236,0,322,3,2,2
237,0,555,5,5,5
238,0,511,5,1,1
239,0,352,3,5,2
240,0,111,1,1,1
241,0,254,2,5,4
242,0,434,4,3,4
243,0,254,2,5,4
244,0,423,4,2,3
245,0,234,2,3,4
246,0,211,2,1,1
247,0,524,5,2,4
248,0,454,4,5,4
249,0,211,2,1,1
250,0,411,4,1,1
251,0,311,3,1,1
252,0,533,5,3,3
253,0,212,2,1,2
254,0,554,5,5,4
255,0,454,4,5,4
256,0,352,3,5,2
257,0,313,3,1,3
258,0,534,5,3,4
259,0,334,3,3,4
260,0,211,2,1,1
261,1,133,1,3,3
262,0,114,1,1,4
263,0,413,4,1,3
264,0,522,5,2,2
265,0,111,1,1,1
266,0,212,2,1,2
267,0,533,5,3,3
268,0,122,1,2,2
269,0,333,3,3,3
270,0,334,3,3,4
271,0,522,5,2,2
272,0,525,5,2,5
273,0,455,4,5,5
274,0,112,1,1,2
275,0,553,5,5,3
276,0,554,5,5,4
277,0,411,4,1,1
278,0,532,5,3,2
279,0,553,5,5,3
280,0,135,1,3,5
281,1,412,4,1,2
282,0,211,2,1,1
283,0,111,1,1,1
284,0,534,5,3,4
285,0,422,4,2,2
286,0,521,5,2,1
287,0,455,4,5,5
288,0,522,5,2,2
289,0,134,1,3,4
290,0,535,5,3,5
291,0,211,2,1,1
292,0,122,1,2,2
293,0,452,4,5,2
294,0,111,1,1,1
295,0,354,3,5,4
296,0,132,1,3,2
297,0,422,4,2,2
298,0,554,5,5,4
299,0,233,2,3,3
300,0,455,4,5,5
301,0,153,1,5,3
302,0,333,3,3,3
303,0,123,1,2,3
304,0,334,3,3,4
305,0,453,4,5,3
306,0,454,4,5,4
307,0,124,1,2,4
308,0,422,4,2,2
309,0,223,2,2,3
310,0,354,3,5,4
311,0,155,1,5,5
312,0,554,5,5,4
313,0,511,5,1,1
314,0,222,2,2,2
315,0,111,1,1,1
316,0,433,4,3,3
317,0,124,1,2,4
318,0,153,1,5,3
319,0,523,5,2,3
320,0,311,3,1,1
321,0,255,2,5,5
322,0,434,4,3,4
323,0,222,2,2,2
324,0,554,5,5,4
325,0,355,3,5,5
326,0,434,4,3,4
327,0,322,3,2,2
328,0,555,5,5,5
329,0,253,2,5,3
330,0,212,2,1,2
331,0,454,4,5,4
332,0,254,2,5,4
333,0,423,4,2,3
334,0,233,2,3,3
335,0,555,5,5,5
336,0,321,3,2,1
337,1,255,2,5,5
338,0,534,5,3,4
339,0,122,1,2,2
340,0,122,1,2,2
341,0,135,1,3,5
342,0,454,4,5,4
343,0,333,3,3,3
344,0,411,4,1,1
345,0,432,4,3,2
346,0,134,1,3,4
347,0,455,4,5,5
348,0,311,3,1,1
349,0,532,5,3,2
350,0,422,4,2,2
351,0,111,1,1,1
352,0,522,5,2,2
353,0,412,4,1,2
354,0,311,3,1,1
355,0,555,5,5,5
356,0,111,1,1,1
357,0,212,2,1,2
358,0,555,5,5,5
359,0,234,2,3,4
360,0,254,2,5,4
361,0,352,3,5,2
362,0,211,2,1,1
363,0,353,3,5,3
364,0,134,1,3,4
365,0,332,3,3,2
366,0,522,5,2,2
367,0,322,3,2,2
368,0,454,4,5,4
369,0,223,2,2,3
370,0,111,1,1,1
371,0,234,2,3,4
372,0,323,3,2,3
373,0,253,2,5,3
374,0,112,1,1,2
375,0,434,4,3,4
376,0,524,5,2,4
377,0,311,3,1,1
378,0,123,1,2,3
379,0,122,1,2,2
380,0,355,3,5,5
381,0,212,2,1,2
382,0,511,5,1,1
383,0,435,4,3,5
384,0,155,1,5,5
385,0,523,5,2,3
386,0,523,5,2,3
387,0,322,3,2,2
388,0,522,5,2,2
389,0,354,3,5,4
390,0,534,5,3,4
391,0,212,2,1,2
392,0,454,4,5,4
393,0,311,3,1,1
394,0,511,5,1,1
395,0,555,5,5,5
396,0,233,2,3,3
397,0,232,2,3,2
398,0,133,1,3,3
399,0,412,4,1,2
400,0,422,4,2,2
401,0,253,2,5,3
402,0,224,2,2,4
403,0,153,1,5,3
404,0,524,5,2,4
405,0,455,4,5,5
406,0,323,3,2,3
407,0,524,5,2,4
408,0,424,4,2,4
409,0,455,4,5,5
410,0,124,1,2,4
411,0,555,5,5,5
412,0,452,4,5,2
413,0,223,2,2,3
414,0,454,4,5,4
415,0,211,2,1,1
416,0,555,5,5,5
417,0,122,1,2,2
418,0,453,4,5,3
419,0,111,1,1,1
420,0,513,5,1,3
421,0,354,3,5,4
422,0,123,1,2,3
423,0,411,4,1,1
424,0,555,5,5,5
425,0,524,5,2,4
426,0,221,2,2,1
427,0,324,3,2,4
428,0,123,1,2,3
429,0,553,5,5,3
430,0,355,3,5,5
431,0,354,3,5,4
432,0,212,2,1,2
433,0,423,4,2,3
434,0,132,1,3,2
435,0,535,5,3,5
436,0,411,4,1,1
437,0,211,2,1,1
438,0,255,2,5,5
439,0,355,3,5,5
440,0,132,1,3,2
441,0,311,3,1,1
442,0,152,1,5,2
443,0,324,3,2,4
444,0,211,2,1,1
445,0,522,5,2,2
446,0,112,1,1,2
447,0,533,5,3,3
448,0,421,4,2,1
449,0,554,5,5,4
450,0,111,1,1,1
451,0,422,4,2,2
452,0,422,4,2,2
453,0,522,5,2,2
454,0,554,5,5,4
455,0,523,5,2,3
456,0,355,3,5,5
457,0,353,3,5,3
458,0,222,2,2,2
459,0,323,3,2,3
460,0,522,5,2,2
461,0,552,5,5,2
462,0,222,2,2,2
463,0,133,1,3,3
464,0,354,3,5,4
465,0,332,3,3,2
466,0,554,5,5,4
467,0,132,1,3,2
468,0,323,3,2,3
469,0,355,3,5,5
470,0,552,5,5,2
471,0,523,5,2,3
472,0,111,1,1,1
473,0,433,4,3,3
474,0,455,4,5,5
475,0,234,2,3,4
476,0,135,1,3,5
477,0,412,4,1,2
478,0,554,5,5,4
479,0,552,5,5,2
480,0,222,2,2,2
481,0,521,5,2,1
482,0,523,5,2,3
483,0,534,5,3,4
484,0,422,4,2,2
485,0,432,4,3,2
486,0,454,4,5,4
487,0,455,4,5,5
488,0,212,2,1,2
489,0,335,3,3,5
490,0,332,3,3,2
491,0,234,2,3,4
492,1,335,3,3,5
493,0,554,5,5,4
494,0,324,3,2,4
495,0,532,5,3,2
496,0,355,3,5,5
497,0,455,4,5,5
498,0,423,4,2,3
499,0,322,3,2,2
500,0,122,1,2,2
501,0,533,5,3,3
502,0,532,5,3,2
503,0,533,5,3,3
504,0,255,2,5,5
505,0,422,4,2,2
506,0,222,2,2,2
507,0,534,5,3,4
508,0,454,4,5,4
509,0,313,3,1,3
510,0,523,5,2,3
511,0,233,2,3,3
512,0,254,2,5,4
513,0,211,2,1,1
514,0,134,1,3,4
515,0,211,2,1,1
516,0,355,3,5,5
517,0,424,4,2,4
518,0,554,5,5,4
519,0,211,2,1,1
520,1,312,3,1,2
521,0,122,1,2,2
522,0,555,5,5,5
